Stkcd,Size,BM,OP,INV
600085,B,a,c,c
600086,B,a,c,c
600089,B,c,b,c
600090,A,a,c,b
600091,A,b,a,a
600093,A,a,b,b
600094,A,c,b,c
600095,A,a,a,c
600096,B,c,a,a
600097,A,b,a,a
600098,B,c,b,c
600099,A,a,a,a
600100,B,c,b,b
600101,B,a,b,a
600103,A,b,a,a
600104,B,c,c,a
600105,A,b,a,a
600106,B,b,c,a
600107,A,b,b,b
600108,B,a,b,c
600109,B,a,b,c
600111,B,a,c,c
600112,B,a,a,b
600113,B,a,b,b
600114,A,b,b,b
600115,B,c,b,b
600116,A,b,b,b
600117,B,c,a,b
600118,B,a,b,c
600119,A,b,b,b
600120,B,c,c,c
600121,B,b,c,c
600122,B,c,b,b
600123,B,a,c,c
600125,B,a,c,b
600126,A,c,a,a
600128,A,b,b,a
600129,B,c,a,b
600130,A,a,b,b
600131,A,b,b,a
600132,B,a,b,c
600133,A,c,b,c
600135,B,a,a,b
600136,A,a,b,b
600137,A,a,a,a
600138,B,b,c,a
600139,B,a,c,b
600141,B,c,b,c
600143,B,a,b,c
600145,A,a,a,a
600146,A,a,a,a
600148,A,a,b,a
600149,A,a,b,a
600150,B,b,a,a
600151,B,b,a,b
600152,A,c,a,a
600153,B,c,c,b
600155,A,a,c,a
600156,A,a,a,a
600157,B,c,b,c
600158,B,b,b,a
600159,A,b,a,b
600160,B,a,c,a
600161,B,a,c,c
600162,A,c,b,c
600163,B,b,a,a
600165,A,c,a,c
600166,B,c,a,b
600167,A,b,c,c
600168,B,b,a,a
600169,B,c,a,b
600170,B,c,c,c
600171,B,a,a,b
600172,B,b,b,c
600173,A,b,b,b
600175,B,b,b,c
600176,B,c,b,b
600177,B,c,c,a
600178,A,b,a,a
600179,A,a,a,c
600180,A,b,c,c
600182,A,c,c,b
600183,B,b,b,a
600184,A,b,a,b
600185,B,c,c,b
600186,A,b,a,a
600187,B,a,b,b
600188,B,c,b,c
600189,A,b,a,b
600190,B,c,b,c
600191,B,a,a,a
600192,A,b,a,b
600193,B,a,c,c
600195,B,a,c,b
600196,B,b,c,b
600197,B,a,c,c
600198,B,b,a,c
600199,B,a,c,c
600200,B,b,b,b
600201,B,a,c,b
600202,A,b,a,b
600203,A,b,b,b
600206,B,a,a,a
600207,A,b,a,a
600208,B,b,c,c
600209,B,a,a,b
600210,B,c,b,a
600211,A,a,a,b
600212,A,a,a,a
600213,A,a,a,c
600215,A,c,a,b
600216,B,a,c,c
600217,B,a,a,c
600218,A,b,a,b
600219,B,c,b,c
600220,B,b,a,a
600221,B,c,b,b
600222,A,a,b,b
600223,B,c,c,c
600225,A,c,b,a
600226,A,b,a,a
600227,B,c,a,a
600228,B,a,a,a
600230,B,b,c,b
600231,A,c,a,b
600232,A,b,a,a
600233,A,b,c,b
600235,A,b,a,a
600237,A,a,a,b
600238,B,a,c,c
600239,B,c,a,c
600240,B,b,b,c
600241,A,b,c,a
600242,A,c,a,c
600243,A,b,a,a
600246,B,c,c,a
600248,A,b,c,c
600249,A,b,a,a
600250,A,b,a,a
600251,B,a,c,a
600252,B,a,c,c
600255,A,b,a,a
600256,B,a,c,c
600257,A,a,b,b
600258,B,b,c,a
600259,B,a,c,b
600260,B,b,c,c
600261,B,b,b,c
600262,A,c,c,b
600265,A,a,a,a
600266,B,c,c,c
600267,B,a,b,c
600268,B,c,a,c
600269,B,c,b,b
600270,A,c,c,b
600271,B,a,c,b
600272,A,a,c,a
600273,A,a,a,a
600275,B,a,a,a
600276,B,a,c,c
600277,B,c,b,b
600278,A,b,b,a
600279,A,c,b,b
600280,B,b,c,c
600281,A,b,a,a
600282,B,c,a,a
600283,A,b,a,b
600285,B,a,b,b
600287,B,b,b,a
600288,B,b,b,a
600289,B,b,b,b
