Stkcd,Size,BM,OP,INV
2509,B,a,c,c
2510,A,b,a,b
2511,B,a,c,c
2513,A,c,a,a
2514,A,a,a,c
2515,A,a,b,c
2516,A,b,b,a
2517,B,a,c,c
2518,B,a,c,c
2519,A,b,b,b
2521,A,b,b,b
2522,B,a,a,c
2526,A,b,a,b
2527,A,c,b,c
2528,A,b,a,b
2529,A,a,a,a
2530,A,b,b,b
2531,B,b,b,c
2532,A,b,b,a
2533,A,b,b,b
2534,B,b,c,b
2535,A,c,a,b
2536,A,b,c,b
2537,B,c,b,c
2538,A,b,b,a
2539,A,c,b,a
2540,A,b,b,c
2541,A,c,a,b
2542,A,b,b,c
2543,B,b,c,c
2544,B,b,b,c
2546,A,b,a,b
2547,A,c,a,c
2548,A,b,b,a
2549,A,a,b,b
2550,B,a,b,a
2551,A,b,b,b
2552,A,a,a,a
2553,A,a,c,b
2554,A,c,a,a
2555,B,a,c,c
2556,A,b,b,b
2557,B,a,b,b
2558,B,b,c,c
2559,A,b,b,b
2560,A,b,a,a
2561,A,a,c,b
2562,A,b,c,c
2563,B,b,c,b
2564,A,c,b,c
2565,A,b,b,b
2566,A,b,b,a
2567,A,b,b,c
2568,B,a,c,a
2570,B,b,a,a
2571,A,b,b,a
2572,B,a,c,c
2574,A,b,a,a
2576,A,a,a,b
2577,A,a,a,a
2578,A,b,a,a
2581,A,a,c,c
2582,A,c,a,a
2583,B,b,a,c
2584,A,a,b,b
2585,B,c,a,c
2586,A,b,b,c
2587,A,b,b,c
2588,A,b,b,b
2589,B,c,c,c
2590,A,b,b,b
2591,A,b,a,c
2593,A,c,a,b
2594,B,c,b,c
2595,B,a,c,b
2596,B,a,b,c
2597,B,a,c,c
2598,A,a,b,b
2599,A,b,b,c
2600,B,c,c,b
2601,B,c,c,b
2603,B,a,b,c
2605,A,a,b,a
2606,A,a,b,b
2607,B,c,b,b
2608,A,c,c,b
2609,A,a,b,b
2611,B,c,b,c
2612,A,c,b,c
2613,A,b,a,b
2614,B,b,c,b
2615,A,b,c,b
2616,A,b,b,c
2618,B,a,a,b
2619,B,c,b,c
2620,A,b,b,b
2621,B,a,a,b
2622,A,a,b,c
2623,A,b,a,b
2624,B,c,c,a
2625,A,b,a,c
2626,B,a,c,b
2627,A,b,b,c
2628,B,b,a,a
2629,A,a,a,a
2631,B,a,b,b
2632,A,a,b,c
2633,A,a,a,a
2634,A,a,b,b
2635,B,b,b,c
2636,A,b,c,c
2637,A,c,b,c
2638,A,c,a,a
2639,A,b,a,b
2640,B,a,c,c
2641,A,b,b,b
2642,B,b,a,c
2643,B,a,b,b
2644,B,a,b,b
2645,A,b,b,c
2646,B,a,a,a
2647,B,a,a,c
2648,B,b,c,c
2649,A,a,b,b
2651,A,b,b,a
2652,A,b,c,c
2653,B,b,c,b
2654,A,b,b,c
2655,A,a,a,a
2657,A,b,a,c
2658,A,a,c,b
2659,A,b,a,a
2660,A,b,a,a
2661,B,b,b,c
2662,B,b,b,c
2663,A,b,a,c
2664,B,a,c,c
2666,A,b,b,b
2667,A,a,a,b
2669,B,a,a,a
2670,B,c,b,b
2671,A,c,a,b
2672,B,b,c,b
2673,B,b,b,a
2674,A,b,a,a
2675,B,b,b,c
2676,A,a,a,b
2677,B,a,c,c
2678,B,a,b,c
2679,A,a,b,a
2680,A,b,c,b
2681,B,c,b,c
2682,A,c,b,c
2683,B,b,b,b
2684,A,c,a,c
2685,B,b,a,c
2686,A,b,b,c
2687,A,a,b,a
2688,A,b,b,b
2689,A,a,a,a
2690,B,a,c,b
2691,A,a,a,b
2692,A,a,a,b
2693,A,a,a,c
2695,B,a,b,b
2696,A,c,b,c
2697,B,b,b,b
2698,B,a,b,b
2699,B,a,b,c
2700,A,a,b,b
2701,B,b,c,a
2702,A,b,a,a
2703,A,a,a,a
2705,A,b,c,c
2706,A,a,c,b
2707,B,b,c,c
2708,A,c,a,a
2709,B,a,c,c
2711,B,a,c,b
2712,A,b,b,c
2713,A,c,c,c
2714,B,a,c,c
2715,A,a,a,a
2717,B,c,c,c
2718,A,b,c,c
2721,A,c,b,c
2722,A,b,b,b
2724,A,b,b,b
