year,month,factor,pair,R
2012,201110,INV,AC,0.037299105
2012,201111,INV,AC,-0.045106504
2012,201112,INV,AC,-0.169672075
2012,20121,INV,AC,0.002689931
2012,20122,INV,AC,0.124828349
2012,20123,INV,AC,-0.073176618
2012,20124,INV,AC,0.067213789
2012,20125,INV,AC,0.033270523
2012,20126,INV,AC,-0.077747328
2012,20127,INV,AC,-0.110812113
2012,20107,INV,AD,0.152379733
2012,20108,INV,AD,0.10929893
2012,20109,INV,AD,-0.009597963
2012,201010,INV,AD,0.055562488
2012,201011,INV,AD,0.040928082
2012,201012,INV,AD,-0.01317248
2012,20111,INV,AD,-0.082854746
2012,20112,INV,AD,0.104165461
2012,20113,INV,AD,-0.012123319
2012,20114,INV,AD,-0.034050725
2012,20115,INV,AD,-0.071876779
2012,20116,INV,AD,0.057443165
2012,20117,INV,AD,0.016167201
2012,20118,INV,AD,-0.002559611
2012,20119,INV,AD,-0.125035964
2012,201110,INV,AD,0.036177926
2012,201111,INV,AD,-0.056015337
2012,201112,INV,AD,-0.171050501
2012,20121,INV,AD,-0.026301254
2012,20122,INV,AD,0.146684856
2012,20123,INV,AD,-0.078856257
2012,20124,INV,AD,0.062455287
2012,20125,INV,AD,0.008892624
2012,20126,INV,AD,-0.05946001
2012,20127,INV,AD,-0.101171266
2012,20107,INV,AE,0.136938042
2012,20108,INV,AE,0.180001964
2012,20109,INV,AE,-0.003810884
2012,201010,INV,AE,0.072966389
2012,201011,INV,AE,0.011991319
2012,201012,INV,AE,-0.002950234
2012,20111,INV,AE,-0.054427651
2012,20112,INV,AE,0.117136816
2012,20113,INV,AE,0.003093569
2012,20114,INV,AE,-0.048208847
2012,20115,INV,AE,-0.077681892
2012,20116,INV,AE,0.043728653
2012,20117,INV,AE,0.02408959
2012,20118,INV,AE,-0.000926818
2012,20119,INV,AE,-0.086833294
2012,201110,INV,AE,0.028749559
2012,201111,INV,AE,-0.030935338
2012,201112,INV,AE,-0.144502746
2012,20121,INV,AE,0.004704216
2012,20122,INV,AE,0.175467522
2012,20123,INV,AE,-0.08675796
2012,20124,INV,AE,0.051046784
2012,20125,INV,AE,0.013507433
2012,20126,INV,AE,-0.070540653
2012,20127,INV,AE,-0.114539161
2012,20107,BM,BA,0.16800352
2012,20108,BM,BA,0.134078757
2012,20109,BM,BA,0.02261085
2012,201010,BM,BA,0.081229108
2012,201011,BM,BA,0.023781191
2012,201012,BM,BA,-0.037640673
2012,20111,BM,BA,-0.048679068
2012,20112,BM,BA,0.131143399
2012,20113,BM,BA,0.020445318
2012,20114,BM,BA,-0.024253929
2012,20115,BM,BA,-0.070467168
2012,20116,BM,BA,0.049658828
2012,20117,BM,BA,0.025078095
2012,20118,BM,BA,-0.036738332
2012,20119,BM,BA,-0.108548044
2012,201110,BM,BA,0.054178488
2012,201111,BM,BA,-0.053402447
2012,201112,BM,BA,-0.184906238
2012,20121,BM,BA,0.023320612
2012,20122,BM,BA,0.145202546
2012,20123,BM,BA,-0.058266026
2012,20124,BM,BA,0.053179121
2012,20125,BM,BA,0.005436966
2012,20126,BM,BA,-0.071069152
2012,20127,BM,BA,-0.113421755
2012,20107,BM,BB,0.17949723
2012,20108,BM,BB,0.105617453
2012,20109,BM,BB,0.006784273
2012,201010,BM,BB,0.060217934
2012,201011,BM,BB,0.043210093
2012,201012,BM,BB,-0.045949945
2012,20111,BM,BB,-0.034797056
2012,20112,BM,BB,0.115883415
2012,20113,BM,BB,0.016401448
2012,20114,BM,BB,-0.020410222
2012,20115,BM,BB,-0.059375669
2012,20116,BM,BB,0.031159873
2012,20117,BM,BB,0.018743462
2012,20118,BM,BB,-0.031849988
2012,20119,BM,BB,-0.116003276
2012,201110,BM,BB,0.032639904
2012,201111,BM,BB,-0.04475951
2012,201112,BM,BB,-0.166597384
2012,20121,BM,BB,-0.002560664
2012,20122,BM,BB,0.138695021
2012,20123,BM,BB,-0.078357874
2012,20124,BM,BB,0.089610534
2012,20125,BM,BB,-0.00116601
2012,20126,BM,BB,-0.075257329
2012,20127,BM,BB,-0.09902375
2012,20107,BM,BC,0.159505554
2012,20108,BM,BC,0.09480355
2012,20109,BM,BC,0.010556085
2012,201010,BM,BC,0.093162244
2012,201011,BM,BC,-0.003966695
2012,201012,BM,BC,-0.020042974
2012,20111,BM,BC,-0.051638754
2012,20112,BM,BC,0.095394799
2012,20113,BM,BC,0.019870051
2012,20114,BM,BC,-0.03989253
2012,20115,BM,BC,-0.0710862
2012,20116,BM,BC,0.017100921
2012,20117,BM,BC,0.028966896
2012,20118,BM,BC,-0.043917483
2012,20119,BM,BC,-0.116556796
2012,201110,BM,BC,0.033001566
2012,201111,BM,BC,-0.025158985
2012,201112,BM,BC,-0.173432596
2012,20121,BM,BC,0.001926606
2012,20122,BM,BC,0.133855044
2012,20123,BM,BC,-0.072201171
2012,20124,BM,BC,0.08998476
2012,20125,BM,BC,0.008103648
2012,20126,BM,BC,-0.078546404
2012,20127,BM,BC,-0.092494886
2012,20107,BM,BD,0.150438425
2012,20108,BM,BD,0.106525222
2012,20109,BM,BD,-0.005509043
2012,201010,BM,BD,0.067778779
2012,201011,BM,BD,0.006702382
2012,201012,BM,BD,-0.023540823
2012,20111,BM,BD,-0.032142189
2012,20112,BM,BD,0.095117028
2012,20113,BM,BD,-0.012325472
2012,20114,BM,BD,-0.041952179
2012,20115,BM,BD,-0.076871363
2012,20116,BM,BD,0.043951947
2012,20117,BM,BD,0.005477466
2012,20118,BM,BD,-0.031025212
2012,20119,BM,BD,-0.110143188
2012,201110,BM,BD,0.026198238
2012,201111,BM,BD,-0.053587364
2012,201112,BM,BD,-0.178409065
2012,20121,BM,BD,-0.006174078
2012,20122,BM,BD,0.147632123
2012,20123,BM,BD,-0.055019015
2012,20124,BM,BD,0.070159532
2012,20125,BM,BD,0.008179237
2012,20126,BM,BD,-0.086815775
2012,20127,BM,BD,-0.09812646
2012,20107,BM,BE,0.159355778
2012,20108,BM,BE,0.055255214
2012,20109,BM,BE,0.066673048
2012,201010,BM,BE,0.073555322
2012,201011,BM,BE,-0.042298096
2012,201012,BM,BE,-0.0175097
2012,20111,BM,BE,-0.045113067
2012,20112,BM,BE,0.101702127
2012,20113,BM,BE,-0.006432233
2012,20114,BM,BE,-0.027032725
2012,20115,BM,BE,-0.058321072
2012,20116,BM,BE,0.035534327
2012,20117,BM,BE,0.109411879
2012,20118,BM,BE,-0.042144401
2012,20119,BM,BE,-0.123997556
2012,201110,BM,BE,0.036181728
2012,201111,BM,BE,-0.047189415
2012,201112,BM,BE,-0.168065782
2012,20121,BM,BE,0.007958104
2012,20122,BM,BE,0.132027168
2012,20123,BM,BE,-0.090994729
2012,20124,BM,BE,0.096559774
2012,20125,BM,BE,0.033041052
2012,20126,BM,BE,-0.076801307
2012,20127,BM,BE,-0.113838071
2012,20107,OP,BA,0.172168463
2012,20108,OP,BA,0.109881056
2012,20109,OP,BA,0.016159678
2012,201010,OP,BA,0.080340902
2012,201011,OP,BA,0.009796631
2012,201012,OP,BA,-0.03637304
2012,20111,OP,BA,-0.027981536
2012,20112,OP,BA,0.110713121
2012,20113,OP,BA,0.031375506
2012,20114,OP,BA,-0.031142818
2012,20115,OP,BA,-0.078941957
2012,20116,OP,BA,0.034274236
2012,20117,OP,BA,0.013919639
2012,20118,OP,BA,-0.049596125
2012,20119,OP,BA,-0.110868584
2012,201110,OP,BA,0.02007756
2012,201111,OP,BA,-0.042757252
2012,201112,OP,BA,-0.206913328
2012,20121,OP,BA,0.010128554
2012,20122,OP,BA,0.147478749
2012,20123,OP,BA,-0.081071225
2012,20124,OP,BA,0.086411331
2012,20125,OP,BA,0.005480894
2012,20126,OP,BA,-0.083843148
2012,20127,OP,BA,-0.112371969
2012,20107,OP,BB,0.146917108
2012,20108,OP,BB,0.109978844
2012,20109,OP,BB,0.0030494
2012,201010,OP,BB,0.078665597
2012,201011,OP,BB,0.011744976
2012,201012,OP,BB,-0.047652462
2012,20111,OP,BB,-0.051113944
2012,20112,OP,BB,0.095152027
2012,20113,OP,BB,0.012476323
2012,20114,OP,BB,-0.038760627
2012,20115,OP,BB,-0.083867503
2012,20116,OP,BB,0.016729784
2012,20117,OP,BB,0.021323938
2012,20118,OP,BB,-0.036872577
2012,20119,OP,BB,-0.12005051
2012,201110,OP,BB,0.028065326
2012,201111,OP,BB,-0.061076651
2012,201112,OP,BB,-0.169112117
2012,20121,OP,BB,0.001166207
2012,20122,OP,BB,0.138329818
2012,20123,OP,BB,-0.0709618
2012,20124,OP,BB,0.079714961
2012,20125,OP,BB,0.000530712
2012,20126,OP,BB,-0.072031237
2012,20127,OP,BB,-0.098724988
2012,20107,OP,BC,0.162234882
2012,20108,OP,BC,0.084458855
2012,20109,OP,BC,0.005136129
2012,201010,OP,BC,0.082559724
2012,201011,OP,BC,0.007134921
2012,201012,OP,BC,-0.022578069
2012,20111,OP,BC,-0.046538409
2012,20112,OP,BC,0.118206216
2012,20113,OP,BC,-0.022064776
2012,20114,OP,BC,-0.045738169
2012,20115,OP,BC,-0.0509962
2012,20116,OP,BC,0.037987292
2012,20117,OP,BC,0.015387222
2012,20118,OP,BC,-0.026490812
2012,20119,OP,BC,-0.116522515
2012,201110,OP,BC,0.057461942
2012,201111,OP,BC,-0.035020313
2012,201112,OP,BC,-0.15011324
2012,20121,OP,BC,-0.00569831
2012,20122,OP,BC,0.130967575
2012,20123,OP,BC,-0.050270746
2012,20124,OP,BC,0.072169156
2012,20125,OP,BC,0.008382583
2012,20126,OP,BC,-0.079309542
2012,20127,OP,BC,-0.101955727
2012,20107,OP,BD,0.169461527
2012,20108,OP,BD,0.092459055
2012,20109,OP,BD,0.016418976
2012,201010,OP,BD,0.04025294
2012,201011,OP,BD,-0.003016974
2012,201012,OP,BD,-0.008819665
2012,20111,OP,BD,-0.051429904
2012,20112,OP,BD,0.087716257
2012,20113,OP,BD,-0.008176111
2012,20114,OP,BD,-0.030676745
2012,20115,OP,BD,-0.067780071
2012,20116,OP,BD,0.067793844
2012,20117,OP,BD,0.02151495
2012,20118,OP,BD,-0.014477196
2012,20119,OP,BD,-0.108585059
2012,201110,OP,BD,0.044079813
2012,201111,OP,BD,-0.045323421
2012,201112,OP,BD,-0.14952247
2012,20121,OP,BD,0.002517269
2012,20122,OP,BD,0.126215556
2012,20123,OP,BD,-0.069040833
2012,20124,OP,BD,0.074598436
2012,20125,OP,BD,0.021793031
2012,20126,OP,BD,-0.072430328
2012,20127,OP,BD,-0.071932632
2012,20107,OP,BE,0.18200704
2012,20108,OP,BE,0.080975215
2012,20109,OP,BE,0.100771538
2012,201010,OP,BE,0.066254032
2012,201011,OP,BE,0.030391444
2012,201012,OP,BE,-0.000679356
2012,20111,OP,BE,-0.051437814
2012,20112,OP,BE,0.137740573
2012,20113,OP,BE,0.000349365
2012,20114,OP,BE,0.024044723
2012,20115,OP,BE,-0.012524997
2012,20116,OP,BE,0.034708122
2012,20117,OP,BE,0.183732624
2012,20118,OP,BE,-0.038948489
2012,20119,OP,BE,-0.120625458
2012,201110,OP,BE,0.05754986
2012,201111,OP,BE,-0.025944576
2012,201112,OP,BE,-0.161600126
2012,20121,OP,BE,0.015591509
2012,20122,OP,BE,0.151936516
2012,20123,OP,BE,-0.081687104
2012,20124,OP,BE,0.08555261
2012,20125,OP,BE,0.024453258
2012,20126,OP,BE,-0.073963245
2012,20127,OP,BE,-0.123417275
2012,20107,INV,BA,0.180640733
2012,20108,INV,BA,0.10142081
2012,20109,INV,BA,-0.000479912
2012,201010,INV,BA,0.081705019
2012,201011,INV,BA,0.011878967
2012,201012,INV,BA,-0.021579963
2012,20111,INV,BA,-0.04351178
2012,20112,INV,BA,0.105499806
2012,20113,INV,BA,0.057744481
2012,20114,INV,BA,0.00277875
2012,20115,INV,BA,-0.06561508
2012,20116,INV,BA,0.023148029
2012,20117,INV,BA,0.011212156
2012,20118,INV,BA,-0.042292483
2012,20119,INV,BA,-0.119395937
2012,201110,INV,BA,0.023976246
2012,201111,INV,BA,-0.039643079
2012,201112,INV,BA,-0.212168756
2012,20121,INV,BA,0.018884738
2012,20122,INV,BA,0.158787675
2012,20123,INV,BA,-0.080607089
2012,20124,INV,BA,0.097895769
2012,20125,INV,BA,-0.006430485
2012,20126,INV,BA,-0.073974877
2012,20127,INV,BA,-0.109526949
2012,20107,INV,BB,0.137605675
2012,20108,INV,BB,0.112108421
2012,20109,INV,BB,0.014259239
2012,201010,INV,BB,0.063588435
