date,factor,pair,ret
201710,OP,BB,-0.046178549
201711,OP,BB,-0.082777272
201712,OP,BB,-0.03250381
20181,OP,BB,-0.038177271
20182,OP,BB,-0.07204047
20183,OP,BB,0.062134614
20184,OP,BB,-0.046064848
20185,OP,BB,-0.035973478
20186,OP,BB,-0.135069393
20187,OP,BB,0.032115968
20167,OP,BC,-0.01471604
20168,OP,BC,0.052970496
20169,OP,BC,0.005827209
201610,OP,BC,0.051056199
201611,OP,BC,0.052995628
201612,OP,BC,-0.041040959
20171,OP,BC,-0.022951103
20172,OP,BC,0.052838171
20173,OP,BC,-0.033837783
20174,OP,BC,-0.058699297
20175,OP,BC,-0.071859951
20176,OP,BC,0.031989793
20177,OP,BC,-0.017301328
20178,OP,BC,0.03194051
20179,OP,BC,0.008810182
201710,OP,BC,-0.032155765
201711,OP,BC,-0.081024581
201712,OP,BC,-0.021593511
20181,OP,BC,-0.033898694
20182,OP,BC,-0.054133216
20183,OP,BC,0.041792689
20184,OP,BC,-0.044736025
20185,OP,BC,-0.01772552
20186,OP,BC,-0.135326124
20187,OP,BC,0.014637929
20167,OP,BD,-0.023106587
20168,OP,BD,0.037357568
20169,OP,BD,0.003553729
201610,OP,BD,0.029834088
201611,OP,BD,0.022024668
201612,OP,BD,-0.036482662
20171,OP,BD,-0.011406642
20172,OP,BD,0.042196599
20173,OP,BD,-0.004700637
20174,OP,BD,-0.065134905
20175,OP,BD,-0.08192793
20176,OP,BD,0.044165687
20177,OP,BD,-0.006961135
20178,OP,BD,0.022710183
20179,OP,BD,0.009008915
201710,OP,BD,-0.005086736
201711,OP,BD,-0.072311695
201712,OP,BD,-0.016114056
20181,OP,BD,-0.020362735
20182,OP,BD,-0.043009911
20183,OP,BD,0.057329173
20184,OP,BD,-0.061234183
20185,OP,BD,-0.015828102
20186,OP,BD,-0.143680453
20187,OP,BD,0.002530346
20167,OP,BE,0.011543232
20168,OP,BE,0.083847865
20169,OP,BE,0.00600147
201610,OP,BE,0.033117447
201611,OP,BE,0.012374358
201612,OP,BE,0.047180955
20171,OP,BE,-0.010283357
20172,OP,BE,0.059102742
20173,OP,BE,0.0137309
20174,OP,BE,-0.00072475
20175,OP,BE,-0.115973405
20176,OP,BE,0.030503289
20177,OP,BE,0.014991359
20178,OP,BE,0.031892821
20179,OP,BE,-0.000988075
201710,OP,BE,-0.003055677
201711,OP,BE,-0.059344936
201712,OP,BE,-0.003534497
20181,OP,BE,-0.02369202
20182,OP,BE,-0.056287389
20183,OP,BE,0.025527117
20184,OP,BE,-0.032003091
20185,OP,BE,0.02265678
20186,OP,BE,-0.113580229
20187,OP,BE,-0.006716357
20167,INV,BA,0.003241756
20168,INV,BA,0.057627101
20169,INV,BA,-0.0055297
201610,INV,BA,0.041886622
201611,INV,BA,0.024956767
201612,INV,BA,-0.018028333
20171,INV,BA,-0.025123015
20172,INV,BA,0.044193883
20173,INV,BA,-0.036408265
20174,INV,BA,-0.100286275
20175,INV,BA,-0.093789417
20176,INV,BA,0.033632201
20177,INV,BA,0.009884293
20178,INV,BA,0.024978319
20179,INV,BA,1.39E-05
201710,INV,BA,-0.026673723
201711,INV,BA,-0.08270516
201712,INV,BA,-0.008504773
20181,INV,BA,-0.041732479
20182,INV,BA,-0.063772088
20183,INV,BA,0.052144923
20184,INV,BA,-0.048449847
20185,INV,BA,-0.02690466
20186,INV,BA,-0.119752344
20187,INV,BA,0.021840835
20167,INV,BB,0.004713422
20168,INV,BB,0.044798153
20169,INV,BB,-0.007411651
201610,INV,BB,0.035173641
201611,INV,BB,0.040601402
201612,INV,BB,-0.024874846
20171,INV,BB,-0.003634215
20172,INV,BB,0.024792092
20173,INV,BB,-0.028200958
20174,INV,BB,-0.088064811
20175,INV,BB,-0.080734075
20176,INV,BB,0.028245473
20177,INV,BB,0.004641749
20178,INV,BB,0.027563134
20179,INV,BB,-0.005751451
201710,INV,BB,-0.038668973
201711,INV,BB,-0.087101547
201712,INV,BB,-0.02714363
20181,INV,BB,-0.050813535
20182,INV,BB,-0.072161392
20183,INV,BB,0.057549326
20184,INV,BB,-0.033192452
20185,INV,BB,-0.0289425
20186,INV,BB,-0.115069828
20187,INV,BB,0.02665539
20167,INV,BC,-0.018432295
20168,INV,BC,0.078102263
20169,INV,BC,0.004658924
201610,INV,BC,0.052852117
201611,INV,BC,0.0351774
201612,INV,BC,-0.041417308
20171,INV,BC,-0.017571838
20172,INV,BC,0.033172984
20173,INV,BC,-0.030535139
20174,INV,BC,-0.028479463
20175,INV,BC,-0.0893167
20176,INV,BC,0.032245001
20177,INV,BC,0.022054507
20178,INV,BC,0.018386103
20179,INV,BC,0.012350761
201710,INV,BC,-0.03551437
201711,INV,BC,-0.071177009
201712,INV,BC,-0.024498063
20181,INV,BC,-0.016462284
20182,INV,BC,-0.067619972
20183,INV,BC,0.043408152
20184,INV,BC,-0.061342623
20185,INV,BC,-0.033732048
20186,INV,BC,-0.131599882
20187,INV,BC,0.007545438
20167,INV,BD,-0.013144539
20168,INV,BD,0.049152713
20169,INV,BD,-0.011287071
201610,INV,BD,0.056186207
201611,INV,BD,0.04603037
201612,INV,BD,-0.054941931
20171,INV,BD,-0.044998433
20172,INV,BD,0.037137838
20173,INV,BD,-0.03386708
20174,INV,BD,-0.064721202
20175,INV,BD,-0.071028005
20176,INV,BD,0.037164221
20177,INV,BD,-0.031399486
20178,INV,BD,0.039042901
20179,INV,BD,0.008791936
201710,INV,BD,-0.026389793
201711,INV,BD,-0.089949526
201712,INV,BD,-0.006510299
20181,INV,BD,-0.038149544
20182,INV,BD,-0.051774676
20183,INV,BD,0.065951444
20184,INV,BD,-0.051580407
20185,INV,BD,0.004307441
20186,INV,BD,-0.135512694
20187,INV,BD,0.00722625
20167,INV,BE,-0.023132306
20168,INV,BE,0.05440361
20169,INV,BE,0.015656957
201610,INV,BE,0.040437752
201611,INV,BE,0.019103029
201612,INV,BE,0.016878472
20171,INV,BE,-0.004946504
20172,INV,BE,0.056153387
20173,INV,BE,0.013846117
20174,INV,BE,-0.005645109
20175,INV,BE,-0.092769958
20176,INV,BE,0.023857481
20177,INV,BE,-0.025906023
20178,INV,BE,0.034633601
20179,INV,BE,0.029339748
201710,INV,BE,-0.011955977
201711,INV,BE,-0.058160558
201712,INV,BE,-0.023753831
20181,INV,BE,-0.049197694
20182,INV,BE,-0.058694823
20183,INV,BE,0.031314533
20184,INV,BE,-0.043788759
20185,INV,BE,-0.032466688
20186,INV,BE,-0.130158402
20187,INV,BE,-0.002690907
20167,BM,CA,0.002357055
20168,BM,CA,0.050762927
20169,BM,CA,-0.020592746
201610,BM,CA,0.032387112
201611,BM,CA,0.017199436
201612,BM,CA,-0.03912629
20171,BM,CA,-0.015559929
20172,BM,CA,0.043991474
20173,BM,CA,-0.008242672
20174,BM,CA,-0.065335272
20175,BM,CA,-0.07943944
20176,BM,CA,0.051265487
20177,BM,CA,0.008689947
20178,BM,CA,0.044835473
20179,BM,CA,0.029833688
201710,BM,CA,-0.001126312
201711,BM,CA,-0.046710728
201712,BM,CA,-0.022974359
20181,BM,CA,-0.030717118
20182,BM,CA,-0.043257415
20183,BM,CA,0.045995976
20184,BM,CA,-0.045985941
20185,BM,CA,-0.003815146
20186,BM,CA,-0.144704236
20187,BM,CA,-0.011707675
20167,BM,CB,-0.008043358
20168,BM,CB,0.035653157
20169,BM,CB,-0.00879734
201610,BM,CB,0.044016085
201611,BM,CB,0.024184992
201612,BM,CB,-0.033863069
20171,BM,CB,-0.043775185
20172,BM,CB,0.047937099
20173,BM,CB,-0.021419424
20174,BM,CB,-0.056178463
20175,BM,CB,-0.098844027
20176,BM,CB,0.041475115
20177,BM,CB,0.009050845
20178,BM,CB,0.037182475
20179,BM,CB,0.030307966
201710,BM,CB,-0.017518261
201711,BM,CB,-0.084440356
201712,BM,CB,-0.015688967
20181,BM,CB,-0.036691127
20182,BM,CB,-0.048078447
20183,BM,CB,0.05475884
20184,BM,CB,-0.029202088
20185,BM,CB,-0.01426737
20186,BM,CB,-0.140467568
20187,BM,CB,0.017892977
20167,BM,CC,-0.006376453
20168,BM,CC,0.036136347
20169,BM,CC,-0.015842521
201610,BM,CC,0.029946561
201611,BM,CC,0.014696727
201612,BM,CC,-0.033643039
20171,BM,CC,-0.002797598
20172,BM,CC,0.023163893
20173,BM,CC,-0.026476827
20174,BM,CC,-0.057260481
20175,BM,CC,-0.074168729
20176,BM,CC,0.027179416
20177,BM,CC,0.009672897
20178,BM,CC,0.020784337
20179,BM,CC,0.025492792
201710,BM,CC,-0.041268389
201711,BM,CC,-0.076565764
201712,BM,CC,-0.037768818
20181,BM,CC,-0.022755995
20182,BM,CC,-0.049056032
20183,BM,CC,0.018669652
20184,BM,CC,-0.052814854
20185,BM,CC,-0.03353863
20186,BM,CC,-0.128223436
20187,BM,CC,0.039943753
20167,BM,CD,0.008425432
20168,BM,CD,0.052299893
20169,BM,CD,-0.016637386
201610,BM,CD,0.034754902
201611,BM,CD,0.015392154
201612,BM,CD,-0.040527722
20171,BM,CD,-0.018513602
20172,BM,CD,0.058251893
20173,BM,CD,-0.009924312
20174,BM,CD,-0.044132208
20175,BM,CD,-0.080719034
20176,BM,CD,0.036755855
20177,BM,CD,0.036559969
20178,BM,CD,0.027094996
20179,BM,CD,0.017462004
201710,BM,CD,-0.016224646
201711,BM,CD,-0.072756681
201712,BM,CD,-0.036773898
20181,BM,CD,-0.028581991
20182,BM,CD,-0.03141949
20183,BM,CD,0.011445282
20184,BM,CD,-0.051706552
20185,BM,CD,-0.008236145
20186,BM,CD,-0.118456669
20187,BM,CD,0.01525642
20167,BM,CE,0.013973666
20168,BM,CE,0.070703513
20169,BM,CE,0.005647601
201610,BM,CE,0.036256339
201611,BM,CE,0.031162762
201612,BM,CE,-0.034294849
20171,BM,CE,-0.012242863
20172,BM,CE,0.06485022
20173,BM,CE,0.001830868
