,Stkcd,Size,BM,OP,INV
1556,600613,B,A,C,B
1557,600614,D,A,B,D
1558,600615,B,A,A,A
1559,600616,C,A,D,C
1560,600617,A,A,E,C
1561,600618,D,B,B,B
1562,600619,B,E,C,B
1563,600620,C,A,B,B
1564,600621,C,C,E,E
1565,600622,C,D,E,D
1566,600623,D,D,D,D
1567,600624,C,A,D,A
1568,600626,C,C,C,D
1569,600628,C,C,D,A
1570,600629,B,B,A,E
1571,600630,C,B,B,B
1572,600633,D,C,E,E
1573,600634,A,A,A,D
1574,600635,D,D,D,C
1575,600636,D,B,D,B
1576,600637,E,A,E,D
1577,600638,E,D,C,D
1578,600639,D,D,D,C
1579,600640,C,D,C,E
1580,600641,C,D,C,B
1581,600642,E,D,D,C
1582,600643,D,B,D,E
1583,600644,C,C,A,A
1584,600645,E,A,D,E
1585,600647,A,A,E,A
1586,600648,E,E,D,B
1587,600649,E,D,D,C
1588,600650,C,C,D,B
1589,600651,D,B,D,C
1590,600652,B,C,D,A
1591,600653,D,C,A,A
1592,600654,D,B,C,B
1593,600655,E,C,E,A
1594,600656,A,A,E,D
1595,600657,D,E,D,E
1596,600658,D,B,E,D
1597,600660,E,B,E,C
1598,600662,B,E,C,B
1599,600663,E,D,D,C
1600,600664,D,D,D,E
1601,600665,C,D,E,B
1602,600666,B,B,D,A
1603,600667,C,C,C,B
1604,600668,C,B,D,B
1605,600671,B,A,A,A
1606,600673,D,C,C,C
1607,600674,E,B,C,D
1608,600675,E,E,E,C
1609,600676,C,D,D,E
1610,600677,C,D,A,E
1611,600678,B,A,A,A
1612,600679,B,B,A,B
1613,600680,B,C,A,B
1614,600681,A,A,E,D
1615,600682,C,C,E,D
1616,600683,C,E,C,C
1617,600684,D,B,E,E
1618,600685,D,D,A,A
1619,600686,D,E,D,C
1620,600687,B,A,E,A
1621,600689,A,B,A,C
1622,600690,E,C,E,E
1623,600691,C,E,C,E
1624,600692,B,B,C,B
1625,600693,B,C,C,E
1626,600694,E,C,E,C
1627,600695,A,A,A,A
1628,600696,B,A,C,B
1629,600697,C,D,E,D
1630,600699,C,E,E,E
1631,600701,B,B,B,B
1632,600702,D,A,E,B
1633,600703,E,C,C,D
1634,600704,D,E,E,C
1635,600705,E,E,E,E
1636,600706,A,D,D,E
1637,600707,D,D,A,A
1638,600708,C,D,B,A
1639,600710,B,C,A,A
1640,600711,A,C,B,A
1641,600712,C,B,C,C
1642,600713,C,E,A,B
1643,600714,B,A,C,D
1644,600715,A,A,A,D
1645,600716,D,D,E,C
1646,600717,E,D,D,C
1647,600718,E,B,C,C
1648,600719,A,C,A,B
1649,600720,D,C,B,D
1650,600721,A,E,C,B
1651,600722,B,B,A,E
1652,600723,B,D,E,C
1653,600724,D,D,E,C
1654,600725,B,E,A,C
1655,600726,B,E,A,B
1656,600727,B,B,B,A
1657,600729,C,E,E,B
1658,600730,C,C,B,E
1659,600731,B,B,C,B
1660,600732,B,B,A,B
1661,600733,A,A,D,A
1662,600734,A,C,A,A
1663,600735,B,A,E,A
1664,600736,D,E,C,D
1665,600737,D,D,A,B
1666,600738,B,B,E,C
1667,600739,E,B,C,C
1668,600740,C,D,B,B
1669,600741,E,D,E,D
1670,600742,C,C,D,D
1671,600743,C,E,E,E
1672,600744,B,E,C,C
1673,600745,D,D,E,D
1674,600746,B,A,A,A
1675,600747,D,A,A,A
1676,600748,D,D,D,C
1677,600749,B,B,B,D
1678,600750,D,A,D,E
1679,600753,B,A,B,B
1680,600754,D,B,D,C
1681,600755,D,E,D,D
1682,600756,C,A,B,D
1683,600757,C,D,C,D
1684,600758,A,B,C,B
1685,600759,D,B,E,D
1686,600760,B,D,A,A
1687,600761,D,B,D,C
1688,600763,D,A,E,E
1689,600764,C,B,C,B
1690,600765,E,B,C,C
1691,600766,C,A,A,A
1692,600767,B,A,C,A
1693,600768,A,B,A,B
1694,600769,B,A,E,A
1695,600770,D,B,B,A
1696,600771,D,A,A,A
1697,600773,E,C,D,B
1698,600774,B,B,B,B
1699,600775,C,C,B,D
1700,600776,D,B,C,B
1701,600777,C,D,A,C
1702,600778,C,D,E,D
1703,600779,D,A,E,B
1704,600781,C,A,B,D
1705,600782,D,E,A,B
1706,600783,E,A,C,B
1707,600784,C,C,D,E
1708,600785,B,C,E,E
1709,600787,D,D,C,C
1710,600789,C,D,A,D
1711,600790,D,D,C,E
1712,600791,C,D,E,B
1713,600792,A,E,A,B
1714,600793,A,B,A,A
1715,600794,D,A,E,E
