,Stkcd,Size,BM,OP,INV
1496,600597,E,D,D,D
1497,600598,E,A,D,A
1498,600599,A,A,C,A
1499,600600,E,D,D,C
1500,600601,D,C,B,B
1501,600602,D,B,C,E
1502,600603,A,A,E,A
1503,600604,C,C,C,E
1504,600605,A,B,B,E
1505,600606,E,E,E,E
1506,600608,A,A,A,E
1507,600609,B,E,E,C
1508,600610,B,A,A,C
1509,600611,D,D,C,D
1510,600612,D,C,E,B
1511,600613,C,D,D,D
1512,600615,A,A,B,A
1513,600616,B,B,C,C
1514,600617,A,E,E,D
1515,600618,D,B,A,A
1516,600619,B,E,B,D
1517,600620,C,C,B,E
1518,600621,C,C,C,B
1519,600622,C,D,C,B
1520,600623,D,E,A,E
1521,600624,C,A,C,C
1522,600626,D,B,D,D
1523,600628,C,C,B,A
1524,600629,C,C,E,E
1525,600630,C,A,C,B
1526,600633,E,B,E,C
1527,600635,E,C,D,D
1528,600637,E,C,D,E
1529,600638,C,D,C,A
1530,600639,D,D,C,E
1531,600641,D,C,C,A
1532,600642,E,E,D,D
1533,600643,E,C,D,D
1534,600644,A,D,D,A
1535,600645,D,A,E,D
1536,600647,A,A,E,B
1537,600648,E,D,C,C
1538,600650,D,B,C,E
1539,600651,D,C,D,E
1540,600652,D,A,A,A
1541,600655,E,D,D,D
1542,600657,C,E,D,E
1543,600658,C,C,E,D
1544,600660,E,C,E,E
1545,600661,B,A,B,C
1546,600662,D,B,D,C
1547,600663,E,C,E,D
1548,600664,E,C,D,A
1549,600665,B,E,C,D
1550,600666,E,B,E,E
1551,600667,D,C,C,B
1552,600668,B,C,D,A
1553,600671,A,A,A,A
1554,600673,E,B,B,B
1555,600674,E,C,E,C
1556,600676,C,C,D,B
1557,600677,C,D,B,C
1558,600678,B,A,A,B
1559,600679,A,B,A,E
1560,600680,D,A,A,B
1561,600681,A,A,A,C
1562,600682,E,C,E,D
1563,600683,C,E,E,A
1564,600684,C,E,D,E
1565,600685,E,E,B,E
1566,600686,C,E,E,E
1567,600687,E,D,D,E
1568,600688,E,D,E,A
1569,600689,A,A,B,A
1570,600691,C,E,B,C
1571,600692,A,C,D,D
1572,600693,B,C,B,D
1573,600694,D,D,E,C
1574,600695,A,A,C,E
1575,600696,B,A,A,A
1576,600697,B,E,E,D
1577,600698,A,B,A,B
1578,600701,C,B,A,B
1579,600702,C,B,B,B
1580,600703,E,B,D,D
1581,600704,C,E,D,E
1582,600705,E,E,E,E
1583,600706,A,B,C,B
1584,600707,D,D,A,C
1585,600708,B,E,D,E
1586,600711,D,C,C,E
1587,600712,B,A,B,C
1588,600713,C,E,D,C
1589,600715,D,C,C,E
1590,600716,B,D,A,A
1591,600717,E,E,D,B
1592,600718,E,B,B,D
1593,600719,A,B,B,C
1594,600720,B,E,B,B
1595,600722,B,A,E,A
1596,600723,C,D,E,A
1597,600724,C,E,A,A
1598,600725,A,E,E,A
1599,600726,C,E,A,B
1600,600727,A,B,B,B
1601,600728,D,A,D,D
1602,600729,D,D,D,B
1603,600730,C,A,C,B
1604,600731,A,C,B,C
1605,600733,A,A,A,A
1606,600735,C,A,D,B
1607,600736,D,E,A,A
1608,600737,E,D,B,B
1609,600738,A,C,D,C
1610,600739,E,D,D,D
1611,600741,E,E,E,D
1612,600742,C,D,D,C
1613,600743,D,E,E,C
1614,600744,A,E,C,D
1615,600745,D,C,A,E
1616,600746,A,A,A,A
1617,600747,B,B,A,B
1618,600748,D,E,E,E
1619,600750,D,A,E,A
1620,600751,E,D,B,B
1621,600753,A,A,A,B
1622,600754,E,D,D,E
1623,600755,E,E,E,C
1624,600756,C,A,D,A
1625,600757,D,C,C,D
1626,600758,A,E,A,E
1627,600760,A,C,A,A
1628,600761,C,C,D,B
1629,600763,D,A,E,E
1630,600765,D,D,A,B
1631,600766,A,A,C,A
